,winequality,abalone,ecoli,parkinsons,Forest-type-mapping,breast,citrus,diabetes,yeast,real_estate_kaggle,customer,OBS-Network-DataSet_2_Aug27,load_iris,load_digits,load_wine,load_breast_cancer,Frogs_MFCCs,Amphibians,avila,balance-scale,data_banknote_authentication
Arc,11,8,7,22,27,31,5,8,8,6,25,20,,,,,23,22,10,4,4
method1,0.431292517,0.96969697,0.656862745,0.86440678,0.744897959,0.576394718,0.922333333,0.753246753,0.50896861,0.588891024,0.378670788,0.653250774,0.977777778,0.992592593,0.759259259,0.929824561,0.986567855,0.614035088,0.704058805,0.925531915,0.977572816
method2,0.492517007,0.949760766,0.735294118,0.915652628,0.734693878,0.631578947,0.874333333,0.748917749,0.562780269,,0.364760433,,0.977777778,0.992592593,0.907407407,0.947368421,0.974525243,1,0.600191755,0.64893617,0.900485437
method3,0.493877551,0.996012759,0.715686275,0.915652628,0.755102041,,0.886666667,0.696969697,0.562780269,,0.360123648,,0.977777778,0.992592593,0.888888889,0.964912281,0.984251969,1,0.637903484,0.712765957,0.980582524
method4,0.495238095,0.228070175,0.732673267,0.915254237,0.448979592,0.631578947,0.895333333,0.675324675,0.320627803,0.749951951,0.363214838,0.981481481,0.977777778,0.494444444,0.814814815,0.754385965,1,0.684210526,0.579737935,0.675531915,0.694174757
method5,0.495238095,0.228070175,0.732673267,0.954238153,0.545454545,0.631578947,0.895333333,0.675324675,0.320627803,0.749951951,0.363214838,0.981481481,0.977777778,0.494444444,0.814814815,0.754385965,1,0.684210526,0.579737935,0.675531915,0.694174757
Time,,,,,,,,,,,,,,,,,,,,,
method1,0.003891,0.003138,0.002797,0.003172,0.002766,0.005645,0.003327,0.002832,0.003432,0.004754,0.005191,0.004431,0.002077,0.00677,0.002645,0.003478,0.006317,0.004079,0.004981,0.003128,0.004116
method2,461.230395,0.197796,0.016571,1.564389,1.572395,559806.6152,26.922988,8.537343,0.206121,,6.228756,,0.007571,1.72309,0.11133,2.177455,0.333126,0.318897,23.533436,0.015439,0.06575
method3,139.759511,0.0516,0.005798,1.104956,0.024861,,1.763255,0.750279,0.056989,,0.544147,,0.002862,0.064334,0.078756,0.320883,0.040344,0.185833,2.723206,0.007559,0.014516
method4,0.4157851,0.1940833,0.092259,0.5922283,0.5245055,0.0158608,0.3118147,0.1382988,0.0798264,0.1231195,1.1484325,0.2148362,0.0255032,0.7503483,0.2223226,0.0972377,1.0692394,0.7438971,0.1596028,0.0090391,0.0214014
method5,0.4157851,0.1940833,0.092259,0.5922283,0.5835714,0.0145734,0.3118147,0.1382988,0.0798264,0.1231195,1.1484325,0.2148362,0.0255032,0.7503483,0.2223226,0.0972377,1.0692394,0.7438971,0.1596028,0.0090391,0.0214014
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
target,4,3,2,5,3,5,1,1,3,4,1,4,1,1,2,3,3,5,1,1,3
